ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2734,Fuel Efficient Stoves in Zambia – Korea Carbon Management Ltd. CPA No.1,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Zambia,52455,Africa,12/30/2022,3/31/2020,3/30/2030
2735,Fuel Efficient Stoves in Zambia (Korea Carbon Management Ltd. CPA No.02),Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Zambia,99475,Africa,3/29/2023,5/22/2020,5/21/2027
2736,Reducing Gas Leakages within the Bakhrabad Gas Distribution Network in Bangladesh,Multiple Proponents,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,1387409,Asia,10/27/2022,1/28/2019,1/27/2029
2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,Multiple Proponents,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,1054305,Asia,9/27/2022,1/20/2019,1/19/2029
2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,Multiple Proponents,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,839133,Asia,9/27/2022,1/6/2019,1/5/2029
2731,Xuzhou Yanqun MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,101798,Asia,8/15/2022,10/24/2020,10/23/2030
2728,Huaibin MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,59196,Asia,7/8/2022,4/1/2020,3/31/2030
2725,Solar Home Systems In Lagos - Tranche 1,Solynta Energy Limited,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,Nigeria,17753,Africa,8/27/2024,10/15/2020,10/14/2027
2714,BEYLIKOVA BIOGAS POWER PLANT,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,Turkey,66081,Middle East,12/27/2024,2/1/2021,1/31/2031
2711,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-002,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,Registered,Malawi,75815,Africa,8/16/2022,7/18/2018,7/17/2028
2712,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-006,Multiple Proponents,Energy demand,,VMR0006,Registered,Malawi,967622,Africa,8/16/2022,6/5/2019,6/4/2029
2713,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Zambia-CPA-007,Multiple Proponents,Energy demand,,VMR0006,Registered,Zambia,745275,Africa,10/18/2024,1/1/2019,12/31/2028
2706,Shuangbaotai AWMS GHG Mitigation Project in Jiangsu Province,"Shuangbaotai Animal Husbandry Group Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,150212,Asia,12/16/2022,6/10/2020,6/9/2030
2696,Zhengbang AWMS GHG Mitigation Project in Guangdong Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,206667,Asia,12/15/2022,5/20/2020,5/19/2030
2697,Zhengbang AWMS GHG Mitigation Project in Sichuan Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,98412,Asia,12/15/2022,5/15/2020,5/14/2030
2700,SHINE - Distribution of LED lightbulbs in India-6,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,1141778,Asia,11/29/2022,3/25/2021,3/24/2031
2701,SHINE - Distribution of LED lightbulbs in India-7,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,55903,Asia,11/29/2022,12/14/2021,12/13/2031
2695,SHINE - Distribution of LED lightbulbs in India-5,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,952806,Asia,11/29/2022,3/19/2021,3/18/2031
2691,Aonong AWMS GHG Mitigation Project in Jiangxi Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,432191,Asia,12/27/2022,4/25/2020,4/24/2030
2692,Aonong AWMS GHG Mitigation Project in Fujian Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,451807,Asia,1/11/2023,5/1/2020,4/30/2030
2693,Yizheng Zhongxing Recycled PET Project,"Yizheng Zhongxing Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,59876,Asia,8/5/2022,8/1/2020,7/31/2027
2679,Jiyuan MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,32397,Asia,9/9/2022,,
2680,Yichang Huangjiawan MSW Landfill site LFG Recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,35795,Asia,4/5/2022,,
2685,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-009,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,19372,Africa,9/11/2022,4/3/2020,4/2/2030
2687,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-010,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2/15/2023,5/29/2020,5/28/2030
