ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3063,Pengmai Composting Project in Fangcheng County,"Fangcheng County Pengmai Agriculture and animal husbandry development Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"57,425",Asia,2/8/2023,12/1/2020,11/30/2030
3060,Wushan County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"24,770",Asia,7/12/2023,1/1/2022,12/31/2031
3059,"Replacement of ICLs with LED lamps in Gujarat, India",AGS Carbon Advisory,Energy demand,,AMS-II.C.,Registered,India,"53,799",Asia,1/5/2023,6/2/2022,6/1/2032
3056,Brascarbon Methane Recovery Project BCA-BRA-17,Brascarbon Consultoria Projetos e Representacao S/A,Waste handling and disposal,,AMS-III.D.,Registered,Brazil,"55,560",Latin America,9/2/2023,2/2/2021,2/1/2028
3058,Jiayu MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"19,168",Asia,1/23/2024,1/1/2022,12/31/2031
3050,Maraui Program - Grouped Project,OnePlanet Ltda,Agriculture Forestry and Other Land Use,ACoGS; REDD,VM0009,Withdrawn,Brazil,"200,000",Latin America,,9/1/2021,8/31/2041
3047,Nanyang Dongjia Composting Project in Fangcheng County,"Nanyang Dongjia Agriculture and Animal Husbandry Development Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"58,812",Asia,2/3/2023,11/1/2020,10/31/2030
3045,Reduced Emissions from Improved and Efficient Cooking in Ugandan Communities,PERSISTENTCLIMATE INDIA PRIVATE LIMITED,Energy demand,,VMR0006,Registered,Uganda,"453,602",Africa,3/8/2023,1/2/2021,1/1/2031
3046,BATMAN LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,Turkey,"59,642",Middle East,2/2/2023,10/30/2020,10/29/2027
3030,The Clean Energy Cooking Initiative,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"136,942",Asia,10/21/2024,11/20/2022,11/19/2029
3031,Global Cookstove Program (EKI Phase 12),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"73,222",Asia,10/21/2024,1/22/2023,1/21/2030
3040,RIMBOSCHIMENTO PROGETTO DELLA SOCIETA' AGRICOLA GAIA SRL BAMBOO PLANT,GAIA s.r.l. Societa Agricola,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration request denied,Italy,"2,186,912",Europe,,3/28/2019,3/27/2051
3023,BONOS DE LA RUTA SIAN KA'AN,Ban.CO2 de Carbono Mestizo,Agriculture Forestry and Other Land Use,IFM,VM0003,Withdrawn,Mexico,"694,509",Latin America,,10/22/2017,10/21/2047
3024,Puwangzi Afforestation Project,"Guizhou Yuanda Carbon Forestry Development Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"247,688",Asia,,9/10/2019,9/9/2049
3025,CSD Wastewater Treatment Plant Project in Hebei Province,"CSD Water Service Co., Ltd.",Waste handling and disposal,,AM0080,Registered,China,"117,143",Asia,3/10/2023,1/1/2021,12/31/2030
3021,Reducing Gas Leakages within North West and other sub-areas of the Titas Gas Distribution Network in Bangladesh,Carbon Projects LLC,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,"1,090,993",Asia,10/26/2022,6/1/2022,5/31/2032
3016,Guoyang MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"62,295",Asia,10/26/2023,1/18/2021,1/17/2031
3017,Jiangsu REO-ECO PET RECYCLING PROJECT,"Jiangsu REO-ECO New Material Tech Co., Ltd",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"10,247",Asia,9/29/2023,8/1/2022,7/31/2032
3018,BigCoast Forest Climate Initiative,Mosaic Forest Management Corporation,Agriculture Forestry and Other Land Use,IFM,VM0012,Registered,Canada,"715,834",North America,3/30/2023,1/1/2018,12/31/2057
3011,Mengzi MSW Landfill Site LFG Comprehensive Utilization and Power Generation Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"50,234",Asia,3/15/2023,10/1/2021,9/30/2031
